model,best_val_epoch,best_val_loss,best_val_top1,best_val_top3,best_val_top5,best_val_mrr,test_loss,test_top1,test_top3,test_top5,test_mrr
Original step-token MOSFET+IGBT+IC,29,0.7632177613081553,0.8125413944513038,0.9954793170835412,0.999945829483479,0.9033766908802914,0.7631252478984761,0.8124788621582822,0.9954888908188966,0.9999468680232352,0.9033746907552916
Augmented step-token +OOD families,30,0.7605723110721282,0.8115012535067473,0.9959829277354092,0.9999584602198098,0.9028238537342652,0.7605843293585804,0.8116905493075662,0.996014651946075,0.9999643120623474,0.9029265236692569
Hybrid semantic-feature +OOD families,30,0.7607085298151165,0.8112327076038275,0.9959975544185748,0.9999584602198098,0.9026875513305164,0.7607205935429513,0.8115559882311713,0.9960070463200178,0.9999643120623474,0.9028606366197878
