epoch,split,loss,ppl,top1,top3,top5,mrr,tokens,lr,seconds
1,train,5.311158386688779,202.5847640144313,nan,nan,nan,nan,634893,2.9999999999999997e-05,2.2724733352661133
1,val,5.104660792910393,164.78816373676395,0.005534318480059337,0.1352199463684601,0.17204883893421577,0.09964843391317904,35054,2.9999999999999997e-05,2.2724733352661133
2,train,4.919934936477581,136.9936996038522,nan,nan,nan,nan,634893,5.9999999999999995e-05,1.4797852039337158
2,val,4.498346026723068,89.86836842970445,0.15096707936326811,0.3266103725680379,0.459434016089462,0.28388996813120027,35054,5.9999999999999995e-05,1.4797852039337158
3,train,4.271881958674929,71.65636311784587,nan,nan,nan,nan,634893,8.999999999999999e-05,1.4577891826629639
3,val,3.674583960689467,39.4322480787853,0.2997375477834199,0.6337935756261768,0.7765732869287385,0.49630029168724504,35054,8.999999999999999e-05,1.4577891826629639
4,train,3.537537110876778,34.38213543981731,nan,nan,nan,nan,634893,0.00011999999999999999,1.740696668624878
4,val,2.9123881370783082,18.400689506244646,0.47187196896217265,0.7962572031722486,0.8795857819364409,0.6500661395855323,35054,0.00011999999999999999,1.740696668624878
5,train,2.8438389985725507,17.18159922347078,nan,nan,nan,nan,634893,0.00015,1.4681735038757324
5,val,2.2444016612003894,9.43476867908986,0.602527528955326,0.8753351971244366,0.9534717863867176,0.7530169621668533,35054,0.00015,1.4681735038757324
6,train,2.2276649143508545,9.27817543028016,nan,nan,nan,nan,634893,0.00017999999999999998,1.4989902973175049
6,val,1.6905606452061295,5.42251996290129,0.6841444628287785,0.9381240371997489,0.9806013579049466,0.8125937239798775,35054,0.00017999999999999998,1.4989902973175049
7,train,1.7035913071008029,5.49364136024213,nan,nan,nan,nan,634893,0.00020999999999999998,1.4530110359191895
7,val,1.260368261721155,3.526720004232469,0.7493866605808182,0.9754093684030353,0.9920979060877503,0.8610454835084798,35054,0.00020999999999999998,1.4530110359191895
8,train,1.3104534302773039,3.7078545846346884,nan,nan,nan,nan,634893,0.00023999999999999998,1.4524829387664795
8,val,0.9928813184151709,2.69899995783974,0.7865293547098762,0.9844240314942659,0.9974610600787357,0.8852112335276466,35054,0.00023999999999999998,1.4524829387664795
9,train,1.0616758653939973,2.891212214010557,nan,nan,nan,nan,634893,0.00026999999999999995,1.452204704284668
9,val,0.8612562245702883,2.366131219665968,0.7964854224910138,0.988788725965653,0.9984309921834883,0.8927624527737562,35054,0.00026999999999999995,1.452204704284668
10,train,0.9357124483698034,2.549028862428782,nan,nan,nan,nan,634893,0.0003,1.4652361869812012
10,val,0.8173993106147367,2.264602644413314,0.7976835739145318,0.991270611057226,0.9990871227249387,0.8940561807875884,35054,0.0003,1.4652361869812012
11,train,0.8823295100315075,2.416522468065385,nan,nan,nan,nan,634893,0.0002997040092642407,1.4567363262176514
11,val,0.8061867463542465,2.2393524659034294,0.7995093284646545,0.991955269013522,0.999400924288241,0.895271151963756,35054,0.0002997040092642407,1.4567363262176514
12,train,0.8564080417195555,2.3546875457910845,nan,nan,nan,nan,634893,0.0002988172051971717,1.481628179550171
12,val,0.8007697564785511,2.227254712554026,0.8000798767615679,0.9920979060877503,0.9996861984366977,0.8958524119706381,35054,0.0002988172051971717,1.481628179550171
13,train,0.8420334218197816,2.321081920043941,nan,nan,nan,nan,634893,0.0002973430876093033,1.4726037979125977
13,val,0.7986479946181799,2.222534018317087,0.7991099446568152,0.9923261254065157,0.999572088777315,0.8953062331621391,35054,0.0002973430876093033,1.4726037979125977
14,train,0.8334569733104809,2.3012604010874464,nan,nan,nan,nan,634893,0.00029528747416929463,1.4694323539733887
14,val,0.7960326533717628,2.2167289278825493,0.8006504250584812,0.9927825640440463,0.9996291436070064,0.8962508903673618,35054,0.00029528747416929463,1.4694323539733887
15,train,0.8264583379947777,2.2852109464235406,nan,nan,nan,nan,634893,0.00029265847744427303,1.500824213027954
15,val,0.796790739122117,2.2184100356265777,0.7996804929537286,0.9922975979916699,0.999743253266389,0.8955619351906167,35054,0.00029265847744427303,1.500824213027954
16,train,0.8213938046084674,2.2736666771346163,nan,nan,nan,nan,634893,0.00028946647288323766,1.4559626579284668
16,val,0.7944090360004155,2.2131327285035676,0.8008786443772465,0.992982255947966,0.9996861984366977,0.8963492389086303,35054,0.00028946647288323766,1.4559626579284668
17,train,0.8171677954693078,2.2640784152885867,nan,nan,nan,nan,634893,0.00028572405786990294,1.4715933799743652
