epoch,split,loss,ppl,top1,top3,top5,mrr,tokens,lr,seconds
1,train,2.0929335468220494,8.108667463699293,nan,nan,nan,nan,30759006,0.0002999975338177811,52.88493323326111
1,val,0.7795779832917888,2.180551841984373,0.8085332069587908,0.9954903010463929,0.9999438335366442,0.9011530557152302,1709205,0.0002999975338177811,52.88493323326111
2,train,0.783351846742347,2.1887964941936455,nan,nan,nan,nan,30759006,0.0002990286168297219,51.98434615135193
2,val,0.7688307141136254,2.1572423454592515,0.8115246561998122,0.9959712263888767,0.9999584602198098,0.9028197102691748,1709205,0.0002990286168297219,51.98434615135193
3,train,0.7758620393192887,2.172464069671305,nan,nan,nan,nan,30759006,0.0002963188419293432,51.86369180679321
3,val,0.7657607381388779,2.150629818629685,0.8110220833662434,0.9959495788977917,0.9999666511623825,0.9025582874466858,1709205,0.0002963188419293432,51.86369180679321
4,train,0.7733582030906709,2.1670313795496807,nan,nan,nan,nan,30759006,0.000291899862990755,51.89783334732056
4,val,0.763954148368571,2.146748020264014,0.8113561568097449,0.9959437282245255,0.9999666511623825,0.9027437920699974,1709205,0.000291899862990755,51.89783334732056
5,train,0.772094651547332,2.164294952877732,nan,nan,nan,nan,30759006,0.0002858232997270921,51.88454842567444
5,val,0.763771592088409,2.146356153700929,0.8112245166612548,0.9959214956661138,0.9999637258257494,0.9026758842652725,1709205,0.0002858232997270921,51.88454842567444
6,train,0.771465157919743,2.162932971720877,nan,nan,nan,nan,30759006,0.00027816013470171897,51.95907998085022
6,val,0.7628718830568778,2.144425926136354,0.8113456255978657,0.9959747367928364,0.99995670501783,0.9027299424293751,1709205,0.00027816013470171897,51.95907998085022
7,train,0.7710034780360447,2.161934619555335,nan,nan,nan,nan,30759006,0.00026899988415488295,51.95698881149292
7,val,0.7627093013434595,2.1440773100350534,0.81124440895036,0.9959525042344248,0.9999584602198098,0.9026740964960683,1709205,0.00026899988415488295,51.95698881149292
8,train,0.7707266909359582,2.161336306747865,nan,nan,nan,nan,30759006,0.00025844955233169146,52.00950884819031
8,val,0.7623866230101457,2.1433855743522163,0.8112683967107515,0.995939632753239,0.9999584602198098,0.902671547110901,1709205,0.00025844955233169146,52.00950884819031
9,train,0.7704130846963744,2.1606586044676157,nan,nan,nan,nan,30759006,0.00024663238152629395,51.97180104255676
9,val,0.7620785522507527,2.142725361631992,0.8112841935285703,0.9959829277354092,0.999959630354463,0.9027110145871912,1709205,0.00024663238152629395,51.97180104255676
