epoch,split,loss,ppl,top1,top3,top5,mrr,tokens,lr,seconds
1,train,3.2786541299470193,26.54002922169619,nan,nan,nan,nan,17616341,0.00015839999999999997,27.212434768676758
1,val,0.8429629861566972,2.323240518142343,0.8061605164392186,0.9934269699670479,0.9995533487600062,0.8991674724637466,978392,0.00015839999999999997,27.212434768676758
2,train,0.8173849707668178,2.264570170588632,nan,nan,nan,nan,17616341,0.0002999894594281132,26.346866607666016
2,val,0.7783120325750931,2.177793117390344,0.8121417591313094,0.9954271907374549,0.9999448073982616,0.9031599369488406,978392,0.0002999894594281132,26.346866607666016
3,train,0.7833707219347533,2.1888378085385187,nan,nan,nan,nan,17616341,0.0002988551050019244,26.303059339523315
3,val,0.77307614088212,2.166420228088183,0.8116797766130549,0.9955007808731061,0.9999478736539138,0.9029517749212483,978392,0.0002988551050019244,26.303059339523315
4,train,0.777963472966524,2.1770341589526137,nan,nan,nan,nan,17616341,0.0002958628977654,26.313413858413696
4,val,0.7696458668527144,2.159001544376528,0.8123093811069592,0.995551885133975,0.9999499178243485,0.9032750013862031,978392,0.0002958628977654,26.313413858413696
5,train,0.7752093382971278,2.1710465628068363,nan,nan,nan,nan,17616341,0.0002910501833011683,26.315569162368774
5,val,0.7681372499470499,2.1557468937750635,0.8124841576791306,0.995560061815714,0.999945829483479,0.9033592275961475,978392,0.0002910501833011683,26.315569162368774
6,train,0.7737338972813287,2.1678456736031455,nan,nan,nan,nan,17616341,0.00028447702884771994,26.30638575553894
6,val,0.7669902239038243,2.1532756135276516,0.812422832566088,0.9954558091235415,0.9999509399095659,0.9033309126416099,978392,0.00028447702884771994,26.30638575553894
7,train,0.7728092419179715,2.165842089929066,nan,nan,nan,nan,17616341,0.00027622547360333413,26.324268579483032
7,val,0.7663389066588441,2.15187360461322,0.8124780251678264,0.9954568312087588,0.9999478736539138,0.9033411454713448,978392,0.00027622547360333413,26.324268579483032
8,train,0.7721905628598801,2.164502543202375,nan,nan,nan,nan,17616341,0.0002663985047991186,26.29710841178894
8,val,0.7657798238082234,2.1506708652309876,0.8122378351417427,0.9954568312087588,0.9999519619947833,0.9032500920515499,978392,0.0002663985047991186,26.29710841178894
9,train,0.7717137861435315,2.163470804761276,nan,nan,nan,nan,17616341,0.0002551187723207443,26.28988790512085
9,val,0.7654480653703478,2.1499574803666213,0.8120926990408752,0.9954496766122373,0.9999478736539138,0.9031606715725905,978392,0.0002551187723207443,26.28988790512085
10,train,0.7713689633379023,2.1627249192950315,nan,nan,nan,nan,17616341,0.00024252705792161152,26.299330472946167
10,val,0.7647717384223489,2.1485038977895394,0.8121601566652221,0.9954353674191939,0.999945829483479,0.9031778553803077,978392,0.00024252705792161152,26.299330472946167
11,train,0.7710478480469056,2.162030546746015,nan,nan,nan,nan,17616341,0.0002287805181331209,26.35708260536194
11,val,0.7647851499706919,2.148532712746656,0.8126149845869549,0.9954752287426717,0.9999468515686963,0.9034225529619008,978392,0.0002287805181331209,26.35708260536194
12,train,0.7708435547215123,2.161588903449943,nan,nan,nan,nan,17616341,0.00021405072280219247,26.312721967697144
12,val,0.7644776118251361,2.147872058573898,0.8122776964652205,0.9955345096852796,0.9999519619947833,0.9032770615267194,978392,0.00021405072280219247,26.312721967697144
