model,loss,top1,top3,top5,mrr,tokens,file
Original step-token,0.7631252478984761,0.8124788621582822,0.9954888908188966,0.9999468680232352,0.9033746907552916,978695,original_metrics.csv
Augmented step-token,0.7605843293585804,0.8116905493075662,0.996014651946075,0.9999643120623474,0.9029265236692569,1709261,augmented_metrics.csv
Hybrid semantic-feature augmented,0.7607205935429513,0.8115559882311713,0.9960070463200178,0.9999643120623474,0.9028606366197878,1709261,hybrid_augmented_metrics.csv
Hybrid coverage-guided valid data,0.7828528922011907,0.8030906439308952,0.9931848777204396,0.9996914965223244,0.8975736135748542,35656,hybrid_coverage_guided_metrics.csv
