cell_id,phase,arch,size,heads,family_dropout,held_out,params,final_lm_loss,wall_seconds,top1_held,top5_held,ned_held,top1_id_avg,top5_id_avg,ned_id_avg,top1_drop,ned_drop,anomaly_acc_held,anomaly_auc_held,anomaly_acc_id_avg
final-transformer-medium-lm_only-fdp00-all3,final,transformer,medium,lm_only,0.0,,33646080,0.1061,244.8,,,,,,,,,,,
final-transformer-medium-lm_only-fdp02-all3,final,transformer,medium,lm_only,0.2,,33646080,0.1061,247.1,,,,,,,,,,,
final-transformer-medium-multitask-fdp00-all3,final,transformer,medium,multitask,0.0,,34177548,0.1069,342.7,,,,,,,,,,,
final-transformer-medium-multitask-fdp02-all3,final,transformer,medium,multitask,0.2,,34177548,0.1070,340.4,,,,,,,,,,,
final-transformer-small-lm_only-fdp00-all3,final,transformer,small,lm_only,0.0,,4238080,0.1061,65.5,,,,,,,,,,,
final-transformer-small-lm_only-fdp02-all3,final,transformer,small,lm_only,0.2,,4238080,0.1062,83.4,,,,,,,,,,,
final-transformer-small-multitask-fdp00-all3,final,transformer,small,multitask,0.0,,4372748,0.1080,92.9,,,,,,,,,,,
final-transformer-small-multitask-fdp02-all3,final,transformer,small,multitask,0.2,,4372748,0.1080,93.5,,,,,,,,,,,
final-xlstm-medium-lm_only-fdp00-all3,final,xlstm,medium,lm_only,0.0,,12051008,0.1098,517.5,,,,,,,,,,,
final-xlstm-medium-lm_only-fdp02-all3,final,xlstm,medium,lm_only,0.2,,12051008,0.1093,534.0,,,,,,,,,,,
final-xlstm-medium-multitask-fdp00-all3,final,xlstm,medium,multitask,0.0,,12582476,0.1090,700.2,,,,,,,,,,,
final-xlstm-medium-multitask-fdp02-all3,final,xlstm,medium,multitask,0.2,,12582476,0.1112,707.9,,,,,,,,,,,
final-xlstm-small-lm_only-fdp00-all3,final,xlstm,small,lm_only,0.0,,1731344,0.1149,189.0,,,,,,,,,,,
final-xlstm-small-lm_only-fdp02-all3,final,xlstm,small,lm_only,0.2,,1731344,0.1192,186.9,,,,,,,,,,,
final-xlstm-small-multitask-fdp00-all3,final,xlstm,small,multitask,0.0,,1866012,0.1173,261.5,,,,,,,,,,,
final-xlstm-small-multitask-fdp02-all3,final,xlstm,small,multitask,0.2,,1866012,0.1172,258.4,,,,,,,,,,,
lofo-transformer-medium-lm_only-fdp00-held_ic,lofo,transformer,medium,lm_only,0.0,ic,33646080,0.0988,243.2,,,,,,,,,,,
lofo-transformer-medium-lm_only-fdp00-held_igbt,lofo,transformer,medium,lm_only,0.0,igbt,33646080,0.1089,243.1,,,,,,,,,,,
lofo-transformer-medium-lm_only-fdp00-held_mosfet,lofo,transformer,medium,lm_only,0.0,mosfet,33646080,0.1110,243.4,,,,,,,,,,,
lofo-transformer-medium-lm_only-fdp02-held_ic,lofo,transformer,medium,lm_only,0.2,ic,33646080,0.0987,255.8,,,,,,,,,,,
lofo-transformer-medium-lm_only-fdp02-held_igbt,lofo,transformer,medium,lm_only,0.2,igbt,33646080,0.1088,243.7,,,,,,,,,,,
