epoch,split,loss,ppl,top1,top3,top5,mrr,tokens,lr,seconds
1,train,1.9600752592990949,7.099861375641265,nan,nan,nan,nan,30759006,0.0002999975338177811,57.6622793674469
1,val,0.776417996118452,2.173672201645251,0.8095874982813648,0.9957828347097042,0.9999309620554585,0.9017505408673184,1709205,0.0002999975338177811,57.6622793674469
2,train,0.7839231923078325,2.1900474106831194,nan,nan,nan,nan,30759006,0.0002990286168297219,56.63714337348938
2,val,0.7678850512352727,2.1552032857370405,0.8112327076038275,0.9960004797552078,0.9999584602198098,0.9026837941012781,1709205,0.0002990286168297219,56.63714337348938
3,train,0.7771874683055268,2.1753454256153306,nan,nan,nan,nan,30759006,0.0002963188419293432,56.63584280014038
3,val,0.7655141652306061,2.150099596952526,0.8112894591345099,0.9959770770621429,0.9999613855564429,0.902712669802079,1709205,0.0002963188419293432,56.63584280014038
4,train,0.7741863799176236,2.1688268080850364,nan,nan,nan,nan,30759006,0.000291899862990755,56.65742254257202
4,val,0.7642706312309504,2.147427536744263,0.8112005289008632,0.9959560146383845,0.9999572900851565,0.902664219485448,1709205,0.000291899862990755,56.65742254257202
5,train,0.7726840083474664,2.16557087077422,nan,nan,nan,nan,30759006,0.0002858232997270921,56.64733338356018
5,val,0.7635907645934014,2.145968068583548,0.811633478722564,0.9960004797552078,0.9999584602198098,0.9028813771652976,1709205,0.0002858232997270921,56.64733338356018
6,train,0.7717610577484187,2.1635730779156326,nan,nan,nan,nan,30759006,0.00027816013470171897,56.716506242752075
6,val,0.7630231406045281,2.144750311275291,0.8115609303740628,0.9959788322641228,0.9999666511623825,0.9028465393770423,1709205,0.00027816013470171897,56.716506242752075
7,train,0.7712227987034658,2.1624088284990264,nan,nan,nan,nan,30759006,0.00026899988415488295,56.70563292503357
7,val,0.762580170623904,2.1438004616644255,0.8113479658671722,0.9959425580898722,0.9999584602198098,0.9027457295341621,1709205,0.00026899988415488295,56.70563292503357
8,train,0.7708582410144337,2.161620649410869,nan,nan,nan,nan,30759006,0.00025844955233169146,56.76104426383972
8,val,0.7625689113087901,2.1437763240753727,0.8112818532592638,0.9959548445037313,0.9999578751524831,0.9026783262357353,1709205,0.00025844955233169146,56.76104426383972
9,train,0.7705764962477828,2.1610117098922026,nan,nan,nan,nan,30759006,0.00024663238152629395,56.756438970565796
9,val,0.7621832152940543,2.142949637525794,0.8113315839820268,0.9959975544185747,0.9999584602198098,0.9027324278228036,1709205,0.00024663238152629395,56.756438970565796
10,train,0.7703239161516194,2.160465950273618,nan,nan,nan,nan,30759006,0.0002336864124434586,56.774715185165405
10,val,0.7620559421093895,2.1426769148563594,0.8111373416295881,0.9959665458502637,0.9999631407584227,0.902626872306862,1709205,0.0002336864124434586,56.774715185165405
11,train,0.770159022000174,2.1601097314440287,nan,nan,nan,nan,30759006,0.00021976287169448957,56.779518842697144
11,val,0.7617308203423183,2.141980397184202,0.8116726782334477,0.9959998946878812,0.9999666511623825,0.9028898406441153,1709205,0.00021976287169448957,56.779518842697144
12,train,0.7699630529798638,2.159686458331758,nan,nan,nan,nan,30759006,0.0002050244052637352,56.73139810562134
12,val,0.7615871702727695,2.1416727236503657,0.8114216843503266,0.9960069154958007,0.9999578751524831,0.9027720604206342,1709205,0.0002050244052637352,56.73139810562134
13,train,0.7698382797178647,2.1594170040181533,nan,nan,nan,nan,30759006,0.00018964317858121316,56.77004146575928
13,val,0.761451203360726,2.1413815468191792,0.8116674126275081,0.9960156915057,0.9999584602198098,0.9028973739573003,1709205,0.00018964317858121316,56.77004146575928
14,train,0.7696923602949878,2.1591019261237276,nan,nan,nan,nan,30759006,0.00017379886539510065,56.79705786705017
14,val,0.7615878571818941,2.141674194785407,0.8112724921820379,0.9960156915057,0.9999590452871364,0.9026982299519367,1709205,0.00017379886539510065,56.79705786705017
15,train,0.7695954655305262,2.158892730586287,nan,nan,nan,nan,30759006,0.00015767654893680702,56.89532971382141
15,val,0.7613969710921815,2.1412654179890693,0.8116475203384029,0.9960133512363936,0.9999549498158501,0.9028893864170404,1709205,0.00015767654893680702,56.89532971382141
16,train,0.7694805179858082,2.158644585429708,nan,nan,nan,nan,30759006,0.00014146455989588977,56.76852059364319
16,val,0.7612494488508532,2.140949557014161,0.8113713685602371,0.9959156449928476,0.9999584602198098,0.9027401725372688,1709205,0.00014146455989588977,56.76852059364319
17,train,0.7693837193092627,2.158435641603613,nan,nan,nan,nan,30759006,0.0001253522764602211,56.81064248085022
17,val,0.7611544847729025,2.140746253366965,0.8116410845978101,0.9959794173314495,0.9999584602198098,0.9028870752868292,1709205,0.0001253522764602211,56.81064248085022
18,train,0.7692988700893424,2.1582525077926644,nan,nan,nan,nan,30759006,0.00010952791211994278,56.90495324134827
18,val,0.7610934052254804,2.140615501547835,0.8115176353918927,0.9959741517255098,0.9999584602198098,0.9028189000880527,1709205,0.00010952791211994278,56.90495324134827
19,train,0.7692414305741112,2.1581285423751613,nan,nan,nan,nan,30759006,9.417631707668206e-05,56.80799221992493
19,val,0.7609893377259013,2.1403927446361073,0.8119353734631013,0.9959911186779818,0.9999584602198098,0.9030284187540771,1709205,9.417631707668206e-05,56.80799221992493
20,train,0.7691764633674422,2.1579883393464794,nan,nan,nan,nan,30759006,7.947681894057387e-05,56.778207778930664
20,val,0.760992117724503,2.140398694933215,0.8114731702750694,0.9959998946878812,0.9999584602198098,0.9028019068532592,1709205,7.947681894057387e-05,56.778207778930664
21,train,0.7690628543209362,2.1577431862749425,nan,nan,nan,nan,30759006,6.560112793869895e-05,56.772879123687744
21,val,0.7609446485849157,2.1402970944602555,0.8115574199701031,0.9959636205136306,0.9999584602198098,0.9028364246828203,1709205,6.560112793869895e-05,56.772879123687744
22,train,0.7689925671168175,2.157591529868988,nan,nan,nan,nan,30759006,5.2711331104966535e-05,56.797820806503296
22,val,0.7609044750467697,2.1402111128803916,0.8116071506928659,0.9959653757156105,0.9999584602198098,0.9028525763119769,1709205,5.2711331104966535e-05,56.797820806503296
23,train,0.7689722584302225,2.157547712463746,nan,nan,nan,nan,30759006,4.0957998882044225e-05,56.79590320587158
23,val,0.7608449873075216,2.140083800346577,0.8115790674611881,0.9959642055809572,0.9999584602198098,0.9028585109744004,1709205,4.0957998882044225e-05,56.79590320587158
24,train,0.7689193472640912,2.1574335571183685,nan,nan,nan,nan,30759006,3.0478426252812905e-05,56.789528369903564
24,val,0.7607790277709167,2.1399426460660975,0.8113795595028098,0.9959484087631384,0.9999584602198098,0.902739097818869,1709205,3.0478426252812905e-05,56.789528369903564
25,train,0.768848564593511,2.157280853614041,nan,nan,nan,nan,30759006,2.1395028947334402e-05,56.78762936592102
25,val,0.7607700782255937,2.1399234946380963,0.8116328936552374,0.9959934589472884,0.9999584602198098,0.902880897798611,1709205,2.1395028947334402e-05,56.78762936592102
26,train,0.7688486628668626,2.1572810656172714,nan,nan,nan,nan,30759006,1.3813913459826908e-05,56.79454970359802
26,val,0.7607528451198767,2.139886617428042,0.8117206537542307,0.9959314418106664,0.9999584602198098,0.9029244761727675,1709205,1.3813913459826908e-05,56.79454970359802
27,train,0.7688329004842095,2.1572470619956143,nan,nan,nan,nan,30759006,7.823637579803594e-06,56.80488348007202
27,val,0.7607182285015901,2.1398125430719395,0.811342115193906,0.9959840978700624,0.9999584602198098,0.9027356776889695,1709205,7.823637579803594e-06,56.80488348007202
28,train,0.7687993982287283,2.157174790564042,nan,nan,nan,nan,30759006,3.4941759160647563e-06,56.823447465896606
28,val,0.7607131328695919,2.1398016394024553,0.8114409915721051,0.9959887784086754,0.9999584602198098,0.9027929845765282,1709205,3.4941759160647563e-06,56.823447465896606
29,train,0.7687867583793034,2.157147524371827,nan,nan,nan,nan,30759006,8.761024976374209e-07,56.81636023521423
29,val,0.7607097278028984,2.139794353247567,0.8112344628058074,0.9959665458502637,0.9999584602198098,0.9026858292671154,1709205,8.761024976374209e-07,56.81636023521423
30,train,0.768779933742791,2.1571328026743046,nan,nan,nan,nan,30759006,0.0,56.83818483352661
30,val,0.7607085298151165,2.139791789801612,0.8112327076038275,0.9959975544185747,0.9999584602198098,0.9026875513305163,1709205,0.0,56.83818483352661
30,test,0.7607205935429513,2.1398176038230936,0.8115559882311713,0.9960070463200178,0.9999643120623474,0.9028606366197878,1709261,0.0,0.0
